Topik CTM,Topik BERTopic,Similarity,Kata Kunci CTM,Kata Kunci BERTopic
5,0,0.3889,"dia, cipta, perkasa, langit, segala, tahu, kam, tipu","langit bumi, cipta, cipta langit, langit, segala, ada langit, maha, bumi"
10,15,0.25,"nikmat, rezeki, cari, karunia, pernah, batas, syukur, ilmu","nikmat, karunia, senang, kikir, syukur, maha, rahmat, beri"
11,11,0.25,"laki, dunia, harta, minta, anak, buat, saudara, perempuan","perempuan perempuan, laki, istri istri, tinggal, anak, istri, saudara, perempuan"
0,6,0.1905,"kecil, dusta, guna, dengar, masa, ingat, dosa, baca","benar, kitab, dusta, dusta ayat, quran, baca, jelas, ayat"
2,8,0.1905,"taat, rasul, utus, ragu, selalu, tiba, dusta, dahulu","benar, taat, rasul, utus, orang, iman, datang, orang rasul"
4,2,0.1364,"tangan, rasa, selalu, kafir, hati, iman, kufur, suka","wahai iman, agama, benar, iman, hati, kufur, wahai, tahu"
6,17,0.1364,"tempat, agama, ibrahim, musyrik, kitab, suci, tinggi, tinggal","tuhan, sujud iblis, turun malaikat, nama, malaikat malaikat, sujud, malaikat sujud, malaikat"
7,47,0.1364,"aun, utus, tunggu, kabar, datang, timpa, bawa, gembira","tambah kepada, timpa, zulkifli, hak urus, azab, zalim azab, besar azab, timpa azab"
9,22,0.1364,"salah, dalam, masuk, air, neraka, rumah, gunung, api","tempat, huni neraka, api neraka, wajah, api, neraka, huni, kekal dalam"
13,7,0.1364,"atas, diri, jadi, takwa, iman, orang, wahai, ikut","benar, kafir, iman, wahai, azab, mukmin, ada, beri"
1,24,0.087,"benar, banyak, sihir, nyata, khianat, angan, hewan, israil","buat, setan jadi, setan musuh, dua, musuh, setan setan, iblis, setan"
3,3,0.087,"mati, waktu, tinggal, bumi, tanda, senang, hidup, negeri","mati, dunia, hidup mati, nyawa, hidup dunia, siksa, hidup, dunia akhirat"
8,18,0.087,"sombong, malam, bangkit, diri, sendiri, siang, wajah, lurus","waktu, bulan, malam, jadi malam, siang, jadi, tanda, malam siang"
12,4,0.087,"laku, paling, datang, kata, sesat, siapa, tahu, manusia","laku, benar, buat, jahanam, manusia, jahat, benar benar, hina"
